sample_idx,os_mm,ro_mm,os_pm,ro_pm
360,0.015696,0.011663,0.010753,0.546288
361,0.013462,0.009208,0.014558,1.290295
362,0.029548,0.024820,0.031044,3.481062
363,0.025423,0.018503,0.004706,0.083522
364,0.009076,0.006370,0.008563,0.471901
365,0.007954,0.004122,0.009486,0.511113
366,0.025630,0.018915,0.059811,8.746592
367,0.030942,0.027380,0.017839,1.179814
368,0.045804,0.038069,0.055902,7.507849
369,0.008970,0.006114,0.033500,5.435614
370,0.023412,0.015699,0.007479,0.124665
371,0.008134,0.004257,0.060094,9.871839
372,0.023810,0.021052,0.027272,2.919590
373,0.028461,0.024098,0.061516,11.111064
374,0.033246,0.026017,0.005556,0.054801
375,0.019628,0.013433,0.002865,0.017988
376,0.032631,0.036091,0.002886,0.025058
377,0.020183,0.012661,0.030703,4.638454
378,0.012958,0.011965,0.007157,0.228461
379,0.034684,0.025269,0.003852,0.016212
380,0.018852,0.014445,0.006284,0.174062
381,0.036806,0.025347,0.052684,8.271358
382,0.008353,0.006485,0.004465,0.083879
383,0.024915,0.019529,0.050628,8.534925
384,0.013685,0.007243,0.002701,0.035818
385,0.007497,0.003734,0.005036,0.256912
386,0.009552,0.004315,0.059506,15.690663
387,0.022342,0.014632,0.002928,0.019018
388,0.013040,0.008195,0.007045,0.118513
