scaffold,P,sample_idx,species,nrmse
reduced3,3,660,A,0.05823175399015415
reduced3,3,660,M,0.25473937256865087
reduced3,3,995,A,0.04502106496169382
reduced3,3,995,M,0.09683472859269043
reduced3,3,36,A,0.06573913122966418
reduced3,3,36,M,0.05077586300551793
reduced3,3,545,A,0.04133843121219121
reduced3,3,545,M,0.3079389461899734
reduced3,3,116,A,0.06697758970655002
reduced3,3,116,M,0.21403660025777008
reduced3,3,434,A,0.055957013671530255
reduced3,3,434,M,0.2785210157162764
reduced3,3,390,A,0.062061472282075786
reduced3,3,390,M,0.04368350067252587
reduced3,3,751,A,0.040628346343344376
reduced3,3,751,M,0.2970087686794856
reduced4_AEIM,4,978,A,0.05891987120905051
reduced4_AEIM,4,978,M,0.07059169907727897
reduced4_AEIM,4,933,A,0.048541992392216744
reduced4_AEIM,4,933,M,0.15729649011561617
reduced4_AEIM,4,859,A,0.07541750912655035
reduced4_AEIM,4,859,M,0.05302390000927269
reduced4_AEIM,4,916,A,0.0
reduced4_AEIM,4,916,M,0.08467382991310177
reduced4_AEIM,4,127,A,0.051553410238987254
reduced4_AEIM,4,127,M,0.08985865820212192
reduced4_AEIM,4,608,A,0.0501770542230981
reduced4_AEIM,4,608,M,0.14258294117271897
reduced4_AEIM,4,856,A,0.04728034421422889
reduced4_AEIM,4,856,M,0.1289646253605379
reduced4_AEIM,4,260,A,0.06293605341643355
reduced4_AEIM,4,260,M,0.1587304774129313
reduced4_AEIM,4,147,A,0.03240902893651199
reduced4_AEIM,4,147,M,0.17000047212734568
reduced4_AEIM,4,810,A,0.05407064126692335
reduced4_AEIM,4,810,M,0.26727612229660275
reduced4_AEIM,4,635,A,0.053451502819201156
reduced4_AEIM,4,635,M,0.11964178473131416
reduced4_AEIM,4,972,A,0.0488607108238791
reduced4_AEIM,4,972,M,0.10422538665042934
reduced4_AEIM,4,593,A,0.0240750160941629
reduced4_AEIM,4,593,M,0.10191063725545818
reduced4_AEIM,4,994,A,0.03631917358521284
reduced4_AEIM,4,994,M,0.11177906976620497
reduced4_AEIM,4,285,A,0.03416149635656889
reduced4_AEIM,4,285,M,0.12308339717513515
reduced4_AEIM,4,554,A,0.07331630574014646
reduced4_AEIM,4,554,M,0.18004995805236065
reduced4_AEIM,4,467,A,0.06870359908347781
reduced4_AEIM,4,467,M,0.125170074787997
reduced4_AEIM,4,276,A,0.030710462209391252
reduced4_AEIM,4,276,M,0.12257493430329798
reduced4_AEIM,4,55,A,0.0
reduced4_AEIM,4,55,M,0.4619312391745874
reduced4_AEIM,4,61,A,0.025919857833934752
reduced4_AEIM,4,61,M,0.14227723536708492
reduced4_AEIM,4,839,A,0.04830761796255445
reduced4_AEIM,4,839,M,0.12069749598213925
reduced4_AEIM,4,425,A,0.06305949228096647
reduced4_AEIM,4,425,M,0.12121395624881391
reduced4_AEIM,4,82,A,0.05481103636518866
reduced4_AEIM,4,82,M,0.06562672800312679
reduced4_AEIM,4,620,A,0.03783503071390328
reduced4_AEIM,4,620,M,0.1834321692330741
reduced4_AEIM,4,787,A,0.04066583294301257
reduced4_AEIM,4,787,M,0.10264068599244468
reduced4_AEIM,4,2,A,0.018347321047193464
reduced4_AEIM,4,2,M,0.11149927214814327
reduced4_AEIM,4,753,A,0.03531184490927488
reduced4_AEIM,4,753,M,0.07331492482962908
reduced4_AEIM,4,7,A,0.05212246318966402
reduced4_AEIM,4,7,M,0.19533836625113582
