time,theta_0,theta_1
1.121869812011718750e+02,9.315490722656250000e+00,6.018474698066711426e-02
1.126878128051757812e+02,9.315455436706542969e+00,6.017462164163589478e-02
1.131886444091796875e+02,9.315421104431152344e+00,6.016552820801734924e-02
1.136894836425781250e+02,9.315389633178710938e+00,6.015740707516670227e-02
1.141903152465820312e+02,9.315361976623535156e+00,6.015053391456604004e-02
1.146911544799804688e+02,9.315333366394042969e+00,6.014414504170417786e-02
1.151919860839843750e+02,9.315309524536132812e+00,6.013876199722290039e-02
1.156928176879882812e+02,9.315286636352539062e+00,6.013378128409385681e-02
1.161936569213867188e+02,9.315267562866210938e+00,6.012941151857376099e-02
1.166944885253906250e+02,9.315247535705566406e+00,6.012565270066261292e-02
1.171953277587890625e+02,9.315229415893554688e+00,6.012208759784698486e-02
1.176961593627929688e+02,9.315212249755859375e+00,6.011907383799552917e-02
1.181969985961914062e+02,9.315198898315429688e+00,6.011636555194854736e-02
1.186978302001953125e+02,9.315189361572265625e+00,6.011380255222320557e-02
1.191986618041992188e+02,9.315176010131835938e+00,6.011172756552696228e-02
1.196995010375976562e+02,9.315165519714355469e+00,6.010990217328071594e-02
1.202003326416015625e+02,9.315155982971191406e+00,6.010802090167999268e-02
1.207011718750000000e+02,9.315146446228027344e+00,6.010651215910911560e-02
1.212020034790039062e+02,9.315138816833496094e+00,6.010522693395614624e-02
1.217028350830078125e+02,9.315131187438964844e+00,6.010408326983451843e-02
1.222036743164062500e+02,8.896331787109375000e+00,4.543891847133636475e-01
1.227045059204101562e+02,9.022506713867187500e+00,3.035097718238830566e-01
1.232053451538085938e+02,9.082999229431152344e+00,2.401257157325744629e-01
1.237061767578125000e+02,9.128241539001464844e+00,1.965576410293579102e-01
1.242070083618164062e+02,9.165795326232910156e+00,1.633161157369613647e-01
1.247078475952148438e+02,9.197571754455566406e+00,1.375440806150436401e-01
1.252086791992187500e+02,9.224040031433105469e+00,1.178889647126197815e-01
1.257095184326171875e+02,9.245636940002441406e+00,1.031579077243804932e-01
1.262103500366210938e+02,9.262989044189453125e+00,9.220051020383834839e-02
1.267111816406250000e+02,9.276829719543457031e+00,8.403532952070236206e-02
1.272120208740234375e+02,9.287843704223632812e+00,7.790485769510269165e-02
1.277128524780273438e+02,9.296607017517089844e+00,7.325521856546401978e-02
1.282136840820312500e+02,9.303596496582031250e+00,6.969149410724639893e-02
1.287145233154296875e+02,9.309185981750488281e+00,6.693247705698013306e-02
1.292153625488281250e+02,9.313657760620117188e+00,6.477730721235275269e-02
1.297161865234375000e+02,9.317248344421386719e+00,6.308101117610931396e-02
1.302170257568359375e+02,9.320133209228515625e+00,6.173643842339515686e-02
1.307178649902343750e+02,9.322450637817382812e+00,6.066493690013885498e-02
1.312187042236328125e+02,9.340062141418457031e+00,5.407330766320228577e-02
1.317195281982421875e+02,9.343726158142089844e+00,5.369301512837409973e-02
1.322203674316406250e+02,9.345690727233886719e+00,5.329422652721405029e-02
1.327212066650390625e+02,9.346984863281250000e+00,5.294482037425041199e-02
1.332220306396484375e+02,9.347919464111328125e+00,5.265154317021369934e-02
1.337228698730468750e+02,9.348609924316406250e+00,5.240819975733757019e-02
1.342237091064453125e+02,9.349130630493164062e+00,5.220724642276763916e-02
1.347245483398437500e+02,9.349524497985839844e+00,5.204183608293533325e-02
1.352253723144531250e+02,9.349822044372558594e+00,5.190557241439819336e-02
1.357262115478515625e+02,9.350046157836914062e+00,5.179319158196449280e-02
1.362270507812500000e+02,9.350212097167968750e+00,5.170081555843353271e-02
1.367278747558593750e+02,9.350333213806152344e+00,5.162458866834640503e-02
1.372287139892578125e+02,9.350419998168945312e+00,5.156163126230239868e-02
1.377295532226562500e+02,9.350479125976562500e+00,5.150958895683288574e-02
1.382303771972656250e+02,9.350518226623535156e+00,5.146661028265953064e-02
1.387312164306640625e+02,9.350542068481445312e+00,5.143071711063385010e-02
