sample_idx,os_mm,ro_mm,os_pm,ro_pm
131,0.490130,0.015988,0.688598,0.264147
132,0.504027,0.023886,0.706094,0.346769
133,0.423034,0.025617,0.682449,0.267424
134,0.392514,0.024864,0.694901,0.344091
135,0.489798,0.022616,0.686574,0.225646
136,0.471929,0.016757,0.644400,0.235182
137,0.432267,0.019154,0.654529,0.314824
138,0.428531,0.020053,0.628251,0.209923
139,0.446517,0.025219,0.636238,0.208219
140,0.419014,0.018709,0.676462,0.315519
141,0.495550,0.024357,0.640245,0.228847
142,0.306592,0.024114,0.677983,0.243188
143,0.242959,0.017403,0.558509,0.362290
144,0.205348,0.022184,0.823859,0.379671
145,0.189731,0.009506,0.817250,0.556568
146,0.245798,0.015747,0.779778,0.531690
147,0.240611,0.015728,0.741097,0.532230
148,0.235316,0.010543,0.786797,0.413340
149,0.290628,0.001895,0.693321,0.496350
150,0.153440,0.012150,0.765912,0.681881
151,0.201026,0.005880,0.773728,0.595405
152,0.218413,0.008857,0.770992,0.544393
153,0.251821,0.005486,0.758129,0.627271
154,0.196218,0.006514,0.764570,0.657758
155,0.155780,0.012215,0.769084,0.697276
156,0.197249,0.004479,0.769163,0.680060
157,0.176481,0.021265,0.712920,0.660485
158,0.497058,0.004228,0.057793,2.410883
159,0.100100,0.025762,0.757892,0.660897
160,0.334529,0.015511,0.765724,0.369232
161,0.188313,0.005460,0.746144,0.605557
162,0.481168,0.002105,0.731827,0.155045
163,0.211194,0.007265,0.750918,0.516897
164,0.215955,0.016878,0.795448,0.599687
165,0.209208,0.007680,0.767457,0.552800
166,0.291572,0.017898,0.751225,0.278395
167,0.205760,0.007941,0.758252,0.605687
168,0.179588,0.015171,0.820048,0.500485
169,0.192402,0.017709,0.819276,0.527340
170,0.126783,0.027136,0.821473,0.670894
171,0.218469,0.014772,0.813846,0.459410
172,0.129229,0.011934,0.812792,0.563593
173,0.247642,0.016417,0.796794,0.340501
174,0.380644,0.004186,0.761386,0.147958
175,0.258154,0.014653,0.793916,0.426997
176,0.270139,0.005005,0.772183,0.502164
177,0.247304,0.003347,0.773242,0.562697
178,0.266985,0.003307,0.773005,0.549941
179,0.299992,0.001763,0.766592,0.485476
180,0.315709,0.002486,0.766877,0.479505
181,0.358900,0.001543,0.759615,0.354163
182,0.452456,0.002481,0.749073,0.173629
183,0.465546,0.002036,0.742882,0.194021
184,0.224761,0.013738,0.780158,0.658112
185,0.232765,0.003394,0.775658,0.643811
186,0.259684,0.010694,0.780105,0.592656
187,0.287581,0.013924,0.750241,0.547286
188,0.221536,0.011925,0.731397,0.611139
189,0.237892,0.006793,0.760547,0.590566
190,0.254541,0.009402,0.748024,0.559429
191,0.263388,0.012714,0.743938,0.573811
192,0.423389,0.003149,0.698255,0.642026
193,0.669213,0.009822,0.424742,0.071467
194,0.364618,0.006244,0.691544,0.584579
195,0.657376,0.013911,0.742945,0.434841
196,0.677625,0.020522,0.719800,0.687007
197,0.583468,0.011664,0.597933,0.347893
198,0.704956,0.010776,0.692916,0.324767
199,0.345159,0.005777,0.707095,0.648276
200,0.651476,0.010472,0.603729,0.429804
201,0.560623,0.021686,0.592160,0.566221
202,0.420088,0.009579,0.585906,0.477994
203,0.705301,0.014583,0.628681,0.610984
204,0.358517,0.012764,0.725166,0.508331
205,0.529558,0.014071,0.674716,0.600587
206,0.705255,0.015268,0.108878,0.610103
207,0.461178,0.005016,0.661382,0.578624
208,0.744991,0.014049,0.604804,0.502072
209,0.729559,0.024433,0.599014,0.399140
210,0.626896,0.009201,0.655857,0.051240
211,0.626926,0.004074,0.088416,1.715910
212,0.765858,0.020390,0.630266,0.570886
213,0.566746,0.004275,0.727944,0.590359
214,0.610797,0.029065,0.744046,0.290143
215,0.294230,0.023686,0.825017,0.228088
216,0.272420,0.016838,0.760624,0.599710
217,0.326531,0.037352,0.683832,0.578540
218,0.369017,0.013867,0.700065,0.311028
219,0.415136,0.012778,0.718003,0.485095
220,0.298527,0.025839,0.690097,0.653587
221,0.325487,0.015387,0.696019,0.579347
222,0.241391,0.027259,0.069653,1.092041
