time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
3.391959905624389648e+00,9.945642203092575073e-03,4.473302364349365234e-01,1.012168452143669128e-02,9.936213493347167969e-03,1.004666741937398911e-02,9.727164171636104584e-03,7.489768322557210922e-03,9.735591593198478222e-04
3.417085409164428711e+00,9.950931183993816376e-03,4.473188519477844238e-01,1.010877825319766998e-02,9.942554868757724762e-03,1.004005502909421921e-02,9.763978421688079834e-03,7.637436967343091965e-03,9.771528420969843864e-04
3.442211151123046875e+00,9.955653920769691467e-03,4.473086297512054443e-01,1.009824220091104507e-02,9.949081577360630035e-03,1.003494206815958023e-02,9.792751632630825043e-03,7.775366771966218948e-03,9.807640453800559044e-04
3.467336654663085938e+00,9.959232993423938751e-03,4.473009109497070312e-01,1.009114179760217667e-02,9.954447858035564423e-03,1.003160793334245682e-02,9.811653755605220795e-03,7.877887226641178131e-03,9.835849050432443619e-04
3.492462396621704102e+00,9.962240234017372131e-03,4.472944736480712891e-01,1.008571032434701920e-02,9.959200397133827209e-03,1.002906728535890579e-02,9.826065041124820709e-03,7.961439900100231171e-03,9.859867859631776810e-04
3.517587900161743164e+00,9.964720346033573151e-03,4.472890794277191162e-01,1.008159946650266647e-02,9.963213466107845306e-03,1.002713199704885483e-02,9.837090969085693359e-03,8.027467876672744751e-03,9.879111312329769135e-04
3.542713642120361328e+00,9.966867975890636444e-03,4.472845196723937988e-01,1.007824018597602844e-02,9.966805577278137207e-03,1.002553477883338928e-02,9.846204891800880432e-03,8.082677610218524933e-03,9.895503753796219826e-04
3.567839145660400391e+00,9.968992322683334351e-03,4.472799003124237061e-01,1.007510162889957428e-02,9.970437735319137573e-03,1.002402417361736298e-02,9.854909032583236694e-03,8.135272189974784851e-03,9.911541128531098366e-04
3.592964887619018555e+00,9.970475919544696808e-03,4.472768008708953857e-01,1.007304619997739792e-02,9.972915053367614746e-03,1.002301089465618134e-02,9.860699065029621124e-03,8.169792592525482178e-03,9.921920718625187874e-04
3.618090391159057617e+00,9.971930645406246185e-03,4.472737014293670654e-01,1.007103826850652695e-02,9.975383989512920380e-03,1.002201251685619354e-02,9.866447187960147858e-03,8.203570730984210968e-03,9.931935928761959076e-04
3.643216133117675781e+00,9.973219595849514008e-03,4.472708702087402344e-01,1.006927061825990677e-02,9.977538138628005981e-03,1.002112869173288345e-02,9.871529415249824524e-03,8.233373984694480896e-03,9.940498275682330132e-04
3.668341636657714844e+00,9.974432177841663361e-03,4.472682476043701172e-01,1.006762031465768814e-02,9.979560971260070801e-03,1.002028677612543106e-02,9.876373223960399628e-03,8.261322975158691406e-03,9.948284132406115532e-04
