time,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
2.135678291320800781e+00,6.716872449032962322e-04,5.690758824348449707e-01,3.827747132163494825e-04,8.613924146629869938e-04,1.999880969524383545e-01,5.075521767139434814e-04,7.499308412661775947e-05,6.191399734234437346e-06
2.160804033279418945e+00,4.721537698060274124e-04,5.934344530105590820e-01,3.805582236964255571e-04,6.032031960785388947e-04,5.320450663566589355e-02,5.983135197311639786e-04,7.498121703974902630e-05,6.190618478285614401e-06
2.185929536819458008e+00,3.704752307385206223e-04,6.216728091239929199e-01,3.818550903815776110e-04,4.422460915520787239e-04,9.174102544784545898e-02,5.480815307237207890e-04,7.496990292565897107e-05,6.189916803123196587e-06
2.211055278778076172e+00,3.234262694604694843e-04,6.402779221534729004e-01,3.809358458966016769e-04,3.780953120440244675e-04,5.914180353283882141e-02,5.860848468728363514e-04,7.495815225411206484e-05,6.189236955833621323e-06
2.236181020736694336e+00,2.902401902247220278e-04,6.590919494628906250e-01,3.816107055172324181e-04,3.278393414802849293e-04,7.575347274541854858e-02,5.622884491458535194e-04,7.494668534491211176e-05,6.188598490552976727e-06
2.261306524276733398e+00,2.698492316994816065e-04,6.730477809906005859e-01,3.812091308645904064e-04,3.001851146109402180e-04,5.870937928557395935e-02,5.867010913789272308e-04,7.493529847124591470e-05,6.188025508890859783e-06
2.286432266235351562e+00,2.538086846470832825e-04,6.868613958358764648e-01,3.817570395767688751e-04,2.765724784694612026e-04,6.505716592073440552e-02,5.757855251431465149e-04,7.492334407288581133e-05,6.187460712681058794e-06
2.311557769775390625e+00,2.419581869617104530e-04,6.985492706298828125e-01,3.818232216872274876e-04,2.600626030471175909e-04,5.855862051248550415e-02,5.867002764716744423e-04,7.491183350794017315e-05,6.186938662722241133e-06
2.336683511734008789e+00,2.329414710402488708e-04,7.088066339492797852e-01,3.822442959062755108e-04,2.477071830071508884e-04,5.638594552874565125e-02,5.908927996642887592e-04,7.489971903851255774e-05,6.186465270729968324e-06
2.361809015274047852e+00,2.252710837638005614e-04,7.186688780784606934e-01,3.827790787909179926e-04,2.368723362451419234e-04,5.634138360619544983e-02,5.908336606808006763e-04,7.488788105547428131e-05,6.186002792674116790e-06
2.386934757232666016e+00,2.191180392401292920e-04,7.273635268211364746e-01,3.832958173006772995e-04,2.284957299707457423e-04,5.364813283085823059e-02,5.966215394437313080e-04,7.487558468710631132e-05,6.185563051985809579e-06
2.412060260772705078e+00,2.140090946340933442e-04,7.352927327156066895e-01,3.839822602458298206e-04,2.216429420514032245e-04,5.204875394701957703e-02,6.003300077281892300e-04,7.486362301278859377e-05,6.185164693306433037e-06
2.437186002731323242e+00,2.095059317070990801e-04,7.429047226905822754e-01,3.847505431622266769e-04,2.154848043574020267e-04,5.161702632904052734e-02,6.012750673107802868e-04,7.485123205697163939e-05,6.184764060890302062e-06
2.462311506271362305e+00,2.059149264823645353e-04,7.493487596511840820e-01,3.855595714412629604e-04,2.110697241732850671e-04,4.859942570328712463e-02,6.093716947361826897e-04,7.483887020498514175e-05,6.184419362398330122e-06
2.487437248229980469e+00,2.025729918386787176e-04,7.558643221855163574e-01,3.865846956614404917e-04,2.066265442408621311e-04,4.905151203274726868e-02,6.079338490962982178e-04,7.482623186660930514e-05,6.184060566738480702e-06
2.512562751770019531e+00,1.998354855459183455e-04,7.614366412162780762e-01,3.875741967931389809e-04,2.034431818174198270e-04,4.661222174763679504e-02,6.152325659058988094e-04,7.481396460207179189e-05,6.183752248034579679e-06
2.537688493728637695e+00,1.973305625142529607e-04,7.668780088424682617e-01,3.887626517098397017e-04,2.004141715588048100e-04,4.630195349454879761e-02,6.161162164062261581e-04,7.480119529645889997e-05,6.183442565088625997e-06
2.562813997268676758e+00,1.951184967765584588e-04,7.719087600708007812e-01,3.899686271324753761e-04,1.979070948436856270e-04,4.522829502820968628e-02,6.196181057021021843e-04,7.478880434064194560e-05,6.183155164762865752e-06
2.587939739227294922e+00,1.932000450324267149e-04,7.764686942100524902e-01,3.912943066097795963e-04,1.958981447387486696e-04,4.409382864832878113e-02,6.235705805011093616e-04,7.477596227545291185e-05,6.182876404636772349e-06
2.613065242767333984e+00,1.913821033667773008e-04,7.810145020484924316e-01,3.927086654584854841e-04,1.938963832799345255e-04,4.397137463092803955e-02,6.238977075554430485e-04,7.476354221580550075e-05,6.182620836625574157e-06
2.638190984725952148e+00,1.898574992083013058e-04,7.849176526069641113e-01,3.941748582292348146e-04,1.925768592627719045e-04,4.241359606385231018e-02,6.298236548900604248e-04,7.475062011508271098e-05,6.182384368003113195e-06
2.663316488265991211e+00,1.883937366073951125e-04,7.888690829277038574e-01,3.957661392632871866e-04,1.911661238409578800e-04,4.236540943384170532e-02,6.299092201516032219e-04,7.473817822756245732e-05,6.182148808875354007e-06
