time,theta_0,theta_1
1.176961593627929688e+02,9.132374763488769531e+00,9.464230388402938843e-02
1.181969985961914062e+02,9.132454872131347656e+00,9.461981803178787231e-02
1.186978302001953125e+02,9.132528305053710938e+00,9.459990262985229492e-02
1.191986618041992188e+02,9.132591247558593750e+00,9.458170831203460693e-02
1.196995010375976562e+02,9.132652282714843750e+00,9.456527233123779297e-02
1.202003326416015625e+02,9.132704734802246094e+00,9.455067664384841919e-02
1.207011718750000000e+02,9.132752418518066406e+00,9.453736990690231323e-02
1.212020034790039062e+02,9.132793426513671875e+00,9.452567249536514282e-02
1.217028350830078125e+02,9.132831573486328125e+00,9.451500326395034790e-02
1.222036743164062500e+02,8.475565910339355469e+00,9.095783233642578125e-01
1.227045059204101562e+02,8.681272506713867188e+00,6.009639501571655273e-01
1.232053451538085938e+02,8.759543418884277344e+00,4.856628179550170898e-01
1.237061767578125000e+02,8.819662094116210938e+00,4.016927182674407959e-01
1.242070083618164062e+02,8.875298500061035156e+00,3.313970565795898438e-01
1.247078475952148438e+02,8.925110816955566406e+00,2.738781273365020752e-01
1.252086791992187500e+02,8.968206405639648438e+00,2.285148650407791138e-01
1.257095184326171875e+02,9.003956794738769531e+00,1.942152827978134155e-01
1.262103500366210938e+02,9.032624244689941406e+00,1.689880192279815674e-01
1.267111816406250000e+02,9.055161476135253906e+00,1.505893915891647339e-01
1.272120208740234375e+02,9.072751998901367188e+00,1.371046304702758789e-01
1.277128524780273438e+02,9.086479187011718750e+00,1.271069794893264771e-01
1.282136840820312500e+02,9.097238540649414062e+00,1.195926368236541748e-01
1.287145233154296875e+02,9.105719566345214844e+00,1.138662099838256836e-01
1.292153625488281250e+02,9.112453460693359375e+00,1.094474568963050842e-01
1.297161865234375000e+02,9.117838859558105469e+00,1.059983745217323303e-01
1.302170257568359375e+02,9.122181892395019531e+00,1.032784059643745422e-01
1.307178649902343750e+02,9.125709533691406250e+00,1.011141538619995117e-01
1.312187042236328125e+02,9.178543090820312500e+00,8.556009083986282349e-02
1.317195281982421875e+02,9.171088218688964844e+00,8.733575046062469482e-02
1.322203674316406250e+02,9.162560462951660156e+00,8.862419426441192627e-02
1.327212066650390625e+02,9.160262107849121094e+00,8.867529779672622681e-02
1.332220306396484375e+02,9.159732818603515625e+00,8.842251449823379517e-02
